clean_text,category
" allnews2nite The international Society should listen to the Libyan people voice by all means   listening and talking to the Armed groups looks like having dialogue with Mafias and gangs   those do not care about concept of building respected  civilized state" , 1
" rosslynpark have already been through a rigorous approval process for the signboards   this latest protest is utter madness and is doomed to failure" , 1
"Join the race to curb the silence on breast cancer in order to save lives of women and attain a Breast Cancer Free Uganda  Next month of June 23rd 2018  Gifted Hands Network will conduct a Breast Cancer Free Uganda Campaign in Gulu  EndBreastCancerNow with  GiftedHandsNetwork https   t co J70jmEpZPt" , 0
"Family    I need your attention please we are going to make a HUGE campaign on Tuesday  every single SBA lover s contribution is highly needed W e must make them hear our voices  Please spread the word RT  amp FAV  Let s do it We can do it   Details are bellow    SiyahBeyazA k https   t co BJ8AA1rLZo" , 0
" PradeepgyawaliK communist ko suvkamana yeti sano recordai vayo  alik dukhi xa ki kya ho  maoist ko khun varieko kapada dhunu nikai garo raxa  ke tha prachandaba safa kapda layera bahirene ho ki  2500 kitab ma lekhe hola ni  politics is the art of making impossible  possible    Hillary Clinton" , 0
" AAbdishakur With all due respect Mr Abdirahman  please don t politicize security problems  no one can defeat terrorists in one day  it takes time to eradicate  and i m sure the government are doing it s best this time " , 1
"3 4 The way it s all going on  I might as well download  my facebook data and sell them on eBay so that I can at least get a pecuniary satisfaction of all the companies using my data for their own   " , 0
"Issa drought " , 0
" mcgboye Negro please  Go and see all the violence in recent congresses " , 1
"PROUDLY ZAMBIAN MY FOOT    Would y all believe these Banana Loaves are imported from South Africa AND unashamedly labeled  PROUDLY ZAMBIAN  at K21  99      what s annoying is that the local banana loaf is K13 99 K12 99   So why import  if it can do it in Zambia    https   t co oPviBLMpW9" , 0
"People over the world connect me just to support my campaign  they  tries to support me in their country by publish my photos  here is mixture of feelings exotic  they do not think that I m love problems as the Libyan see me  they re see me a strong fight for the important case" , 1
"At the ECOWAS Brown Card Insurance Scheme HQ in Lom   Togo  Held insightful discussions with the Secretary General Mr Winfred Kwasi Dodzih on how the scheme has helped to promote regional integration  amp  free movement of people and goods  A real African success story  https   t co VSAJzke5H4" , 0
" RehamKhan1 there are many other politicians who have such affairs  it dosn t mean they are all na ahal  just  shameonrehamkhan we stand with  wasimakramlive" , 1
" Tobaccosales figures for 04 June 2018   2 499 551 kgs of tobacco were sold at average price of  1 73 kg   AHLGroup  Malawi" , 0
"Participants grouping forms of violence facing children in their relevant categories at  BCRCStrategicPlan They include sexual  psychological  educational among others   EACRN  AcpdhBurundi https   t co GRj7adEviF" , 1
"Armed groups in  Somalia https   t co 40QYHK18e3" , 0
" TaherSonni How many times the SC stat meets about the farce of the Libyan  amp  comes out with a statement but does not exceed the corridors of the SC  all the conflicting parties  amp  militias have become aware  amp  know this  so you find it to disregard any interest in the statements of the SC" , 1
" SlagOffTwits  DurinnMcFurren All Western countries have it constitutionally  most in world pay lip service to it in the law  practice can be diff   but few  none   have the same wide interpretation of it  due to much specific libel and defamation laws  or l se majest  laws regarding politicians and monarchs" , 1
"Women gave birth to heroes army turned us into weapons and at some point we ve chosen to be monsters " , 1
"  AfDB Group  amp  Ministry of Finance agree on path to launch African led solutions for  Malagasy people through ARC  Drought  floods  amp  tropical cyclones will not stop striking  and  Madagascar is taking steps to better weather its  climaterisk through  AfricanSolutions https   t co uYow8lv8Td" , 1
" This Is What I Get For Being In Love   Praise Ogbonna Share Her Domestic Violence Experience https   t co rrhwMl2yIA   Jib" , 0
"World moves a step closer to ending violence and harassment at work   CARE welcomes agreement on new  ILOconvention  ILC2018  thisisnotworking  march4women" , 1
"What a  SpinDoctor  Corrupt  Politicians have a justification for it all   but dont  walkthetalk  SriLanka  lka https   t co fsWhqowrrd" , 1
" SriLanka  lka  Corrupt  Politicians Raping the nation https   t co X7PcF4ds9I" , 1
"I sure would like to hear the spin on this from previous  GOSL  politicians   AiyoSriLanka  CORRUPTION  AbuseOfPower https   t co vlPHM5qmRk" , 1
"Residents of the border towns of Badme and Irob protest anti  EPRDFEthiopia recent decision  TPLF CC is also in closed door meeting  the issue of Ethio Eritrea will be top agenda  https   t co iWUn6nS8rU" , 1
"6 Tips for Reaching a Larger Target Market https   t co qT0TgZaTbq https   t co FN02Baht70" , 0
" JulianaLunguzi In a country with limited livelihood opportunities for young people and broken systems  amp  institutions  it s easy for young people to be exploited   Saying achinyamata pena amakonda za ulele is abit dishonest looking at how much politicians root public resources " , 1
" cyber hokie  econoar  barrysilbert  brian armstrong  rabbyte     but out here there s no law  and sometimes  that s the point     I mean  what court decided to restore user funds   AFAIK there s no  jurisdiction of ethereum         And from what I ve seen of the EOS constitution everyone s better off without one " , 1
"If more artists can do what  Jovislash does  Shed light this topic  Stop violence against women  gbv  genderbasedviolence   ThisIsSouthAfrica  EachOneTeachOne  HipHop  https   t co q3VeS2qTzH" , 1
" voicesofmeh Beautiful shots  " , 0
"What a sweet strike  Nacho  The camera almost couldn t keep up  Take a bow " , 0
"The Enemy of the good is the better voltaira https   t co BCWBkXxsr0" , 0
" fatawfreeman At least we pray before taking the photos  " , 0
"Multiple award winning dance hall artist  samini dagaati really shared a positive speech on the Sexual Assault  amp  Violence Awareness Conference organized by  TheSafeSpace  foundation    We need to support the  Obimbra  amp   TheSafeSpace  Foundation     ASafeSpace  TheSafeSpace https   t co vcLRkF9fuf" , 1
" vanyaradzayi Now we should provide for them and make them feel good and forget about the past violence by their husband" , 1
" BehindTheScenes with  africellUG  MidmorningMagazine WIDOWS  Four armed robbers are killed in a failed heist attempt  only to have their widows step up to finish the job  Stars include  Viola Davis  Michelle Rodriguez  Colin Farrell  Daniel Kaluuya  Liam Neeson  Premieres  Nov16 https   t co aVkDd6Xljt" , 0
"NOW   chant lacroix of  UNODC WCAfrica sets the stage for a discussion on legislation to control migration and counter human trafficking   with government representatives from Europe and the  Sahel  Co organized with  francediplo https   t co ysvMqMgdw6" , 1
"Thank you  IdmajSmcc for hosting  iaufrance and  Baylor this summer  Your message of citizenship  leadership  volunteerism  life skills  and social mediation is inspirational   Believe in what you do  lead by example  and never give up    studyabroad https   t co O6ExabDNMJ" , 0
"  uKwenama  AdvBarryRoux Baba we dont protest for RDPs in Zim    " , 1
" TeamCRonaldo Nigga s sperm is a sharp shooter too  " , 0
"Reading twitter and all I can think about is this protest sign https   t co 5AULcGP0w6" , 1
"On  WorldRefugeeDay we remember that protecting people fleeing persecution  violence and war is a basic act of humanity shared by all cultures and enshrined in international law  https   t co 301Bgt9Rmg" , 0
" Roni4488  spain 1957  Somerandomsham1  JeanEngel777  Craig Hubley  x1Mmejor  MactavishKev  BuckmanScott  PizzaGateLibya  SimonBradley22A  rott joseph  Pakeha56  markbjardine  VeronicaTalbot9  Clintakakk  AngryScreed  questionsin2014  frances42830555  JudgeFudge5  AnastasiaKLynch  ZionistsSuck  JBucknoff  james anderssen  dlsmith0817  NHTeaParties  Dimisoso  gallinini1  S ergeyR omanov  Imthehummus24  SamStev97679716  malkaavram  DailyCrusaderDC  louisajan1  NormaFerrie  PaulGore111  MikeMZ82  M0sstr00per  tarambbyrne  Ialbabakri  86thatplease  mighty jar  LeeFeliciano322  sharkdiveruk  Cmaofm  Print2Fits  BDSAnglia  sdeitch  PoliticsBloke  unsc  UN I have been on this thread since its beginning last December in protest to Trupet s Jerusalem declaration  It was first our space    then Zios started invading like locusts  sent by their hasbara masters  Now many of them are acting as if they were our occupiers  " , 1
"BE DILIGENT IN YOUR WORK Seest thou a man diligent in his business  He shall stand before kings  he shall not stand before mean man   Proverbs 22 29 " , 0
" hellen mathibe We learn from our politicians  " , 0
"6 Ways to Boost E commerce Sales with Influencer Marketing https   t co eS5yUwwZ6m https   t co wy2CnoUmx8" , 0
"Who s got my back      BBoyForLife  blackpanther  BackToAfrica  black  fashion  actor  LoveIsTheAnswer  love  hit  chart  smart  pop  electro  urban  message  messages  unity  fun  https   t co zcCfMTSK37" , 0
"Should protest at the raw deal St Helena is getting from  DFID UK" , 1
" allnews2nite The international Society should listen to the Libyan people voice by all means   listening and talking to the Armed groups looks like having dialogue with Mafias and gangs   those do not care about concept of building respected  civilized state" , 1
" rosslynpark have already been through a rigorous approval process for the signboards   this latest protest is utter madness and is doomed to failure" , 1
"Join the race to curb the silence on breast cancer in order to save lives of women and attain a Breast Cancer Free Uganda  Next month of June 23rd 2018  Gifted Hands Network will conduct a Breast Cancer Free Uganda Campaign in Gulu  EndBreastCancerNow with  GiftedHandsNetwork https   t co J70jmEpZPt" , 0
"Family    I need your attention please we are going to make a HUGE campaign on Tuesday  every single SBA lover s contribution is highly needed W e must make them hear our voices  Please spread the word RT  amp FAV  Let s do it We can do it   Details are bellow    SiyahBeyazA k https   t co BJ8AA1rLZo" , 0
" PradeepgyawaliK communist ko suvkamana yeti sano recordai vayo  alik dukhi xa ki kya ho  maoist ko khun varieko kapada dhunu nikai garo raxa  ke tha prachandaba safa kapda layera bahirene ho ki  2500 kitab ma lekhe hola ni  politics is the art of making impossible  possible    Hillary Clinton" , 0
" AAbdishakur With all due respect Mr Abdirahman  please don t politicize security problems  no one can defeat terrorists in one day  it takes time to eradicate  and i m sure the government are doing it s best this time " , 1
"3 4 The way it s all going on  I might as well download  my facebook data and sell them on eBay so that I can at least get a pecuniary satisfaction of all the companies using my data for their own   " , 0
"Issa drought " , 0
" mcgboye Negro please  Go and see all the violence in recent congresses " , 1
"PROUDLY ZAMBIAN MY FOOT    Would y all believe these Banana Loaves are imported from South Africa AND unashamedly labeled  PROUDLY ZAMBIAN  at K21  99      what s annoying is that the local banana loaf is K13 99 K12 99   So why import  if it can do it in Zambia    https   t co oPviBLMpW9" , 0
"People over the world connect me just to support my campaign  they  tries to support me in their country by publish my photos  here is mixture of feelings exotic  they do not think that I m love problems as the Libyan see me  they re see me a strong fight for the important case" , 1
"At the ECOWAS Brown Card Insurance Scheme HQ in Lom   Togo  Held insightful discussions with the Secretary General Mr Winfred Kwasi Dodzih on how the scheme has helped to promote regional integration  amp  free movement of people and goods  A real African success story  https   t co VSAJzke5H4" , 0
" RehamKhan1 there are many other politicians who have such affairs  it dosn t mean they are all na ahal  just  shameonrehamkhan we stand with  wasimakramlive" , 1
" Tobaccosales figures for 04 June 2018   2 499 551 kgs of tobacco were sold at average price of  1 73 kg   AHLGroup  Malawi" , 0
